id,type,date,amount
52,Expense,2024-08-13,90.00
54,Expense,2024-08-14,65.00
53,Income,2024-08-15,220.00
55,Expense,2024-08-16,10.00
54,Expense,2024-08-17,85.00
56,Income,2024-08-18,350.00
55,Expense,2024-08-19,95.00
57,Expense,2024-08-20,40.00
56,Income,2024-08-21,270.00
58,Expense,2024-08-22,50.00
57,Expense,2024-08-23,25.00
59,Income,2024-08-24,200.00
58,Expense,2024-08-25,60.00
60,Expense,2024-08-26,35.00
59,Income,2024-08-27,150.00
61,Expense,2024-08-28,70.00
60,Expense,2024-08-29,45.00
62,Income,2024-08-30,300.00
61,Expense,2024-08-31,80.00
62,Income,2024-09-01,400.00
63,Expense,2024-09-02,15.00
63,Expense,2024-09-03,90.00
64,Income,2024-09-04,220.00
64,Expense,2024-09-05,10.00
65,Expense,2024-09-06,85.00
65,Income,2024-09-07,350.00
66,Expense,2024-09-08,95.00
66,Expense,2024-09-09,40.00
67,Income,2024-09-10,270.00
67,Expense,2024-09-11,50.00
68,Expense,2024-09-12,25.00
68,Income,2024-09-13,200.00
69,Expense,2024-09-14,60.00
69,Expense,2024-09-15,35.00
70,Income,2024-09-16,150.00
70,Expense,2024-09-17,70.00
71,Expense,2024-09-18,45.00
71,Income,2024-09-19,300.00
72,Expense,2024-09-20,80.00
72,Expense,2024-09-21,15.00
73,Income,2024-09-22,400.00
73,Expense,2024-09-23,90.00
74,Expense,2024-09-24,65.00
74,Income,2024-09-25,220.00
75,Expense,2024-09-26,10.00
75,Expense,2024-09-27,85.00
76,Income,2024-09-28,350.00
76,Expense,2024-09-29,95.00
77,Expense,2024-09-30,40.00
77,Income,2024-10-01,270.00
78,Expense,2024-10-02,50.00
78,Expense,2024-10-03,25.00
79,Income,2024-10-04,200.00
79,Expense,2024-10-05,60.00
80,Expense,2024-10-06,35.00
80,Income,2024-10-07,150.00
81,Expense,2024-10-08,70.00
81,Expense,2024-10-09,45.00
82,Income,2024-10-10,300.00
82,Expense,2024-10-11,80.00
83,Expense,2024-10-12,15.00
83,Income,2024-10-13,400.00
84,Expense,2024-10-14,90.00
84,Expense,2024-10-15,65.00
85,Income,2024-10-16,220.00
85,Expense,2024-10-17,10.00
86,Expense,2024-10-18,85.00
86,Income,2024-10-19,350.00
87,Expense,2024-10-20,95.00
87,Expense,2024-10-21,40.00
88,Income,2024-10-22,270.00
88,Expense,2024-10-23,50.00
89,Expense,2024-10-24,25.00
89,Income,2024-10-25,200.00
90,Expense,2024-10-26,60.00
90,Expense,2024-10-27,35.00
91,Income,2024-10-28,150.00
91,Expense,2024-10-29,70.00
92,Expense,2024-10-30,45.00
92,Income,2024-10-31,300.00
93,Expense,2024-11-01,80.00
93,Expense,2024-11-02,15.00
94,Income,2024-11-03,400.00
94,Expense,2024-11-04,90.00
95,Expense,2024-11-05,65.00
95,Income,2024-11-06,220.00
96,Expense,2024-11-07,10.00
96,Expense,2024-11-08,85.00
97,Income,2024-11-09,350.00
97,Expense,2024-11-10,95.00
98,Expense,2024-11-11,40.00
98,Expense,2024-11-12,50.00
99,Income,2024-11-13,270.00
99,Expense,2024-11-14,25.00
100,Expense,2024-11-15,60.00
100,Income,2024-11-16,150.00
